LineID;PatternID;StopSeqCount;StopID;Direction
101;1;0;168;1
101;1;1;169;1
101;1;2;170;1
101;1;4;171;1
101;1;5;172;1
101;1;6;173;1
101;1;8;174;1
101;1;9;41;1
101;1;11;42;1
101;1;12;43;1
101;1;13;44;1
101;1;14;45;1
101;1;16;46;1
101;1;18;47;1
101;1;19;48;1
101;1;20;49;1
101;1;21;50;1
101;1;22;51;1
101;1;24;1709;1
101;1;25;1711;1
101;1;26;1712;1
101;1;28;1713;1
101;1;29;1714;1
101;1;31;1715;1
101;1;33;851;1
101;1;35;401;1
101;1;36;1875;1
101;1;37;1876;1
101;1;38;1877;1
101;1;39;1878;1
101;1;40;1880;1
101;2;0;1880;2
101;2;2;1881;2
101;2;3;1882;2
101;2;4;1883;2
101;2;6;1884;2
101;2;8;426;2
101;2;10;831;2
101;2;11;1751;2
101;2;12;1752;2
101;2;13;1753;2
101;2;14;1754;2
101;2;16;4843;2
101;2;17;1756;2
101;2;18;13;2
101;2;20;14;2
101;2;21;15;2
101;2;23;16;2
101;2;24;17;2
101;2;25;18;2
101;2;26;19;2
101;2;28;20;2
101;2;29;21;2
101;2;30;22;2
101;2;31;23;2
101;2;32;132;2
101;2;33;164;2
101;2;34;165;2
101;2;35;166;2
101;2;36;167;2
101;2;37;168;2
101;3;0;1880;2
101;3;2;1881;2
101;3;3;1882;2
101;3;4;1883;2
101;3;6;1884;2
101;3;7;407;2
101;3;8;402;2
101;3;10;403;2
101;3;11;2243;2
101;4;0;1880;2
101;4;2;1881;2
101;4;3;1882;2
101;4;4;1883;2
101;4;6;1884;2
101;4;8;426;2
101;4;10;831;2
101;4;11;832;2
101;4;12;833;2
101;4;14;109;2
101;4;15;7526;2
101;5;0;1880;2
101;5;2;1881;2
101;5;3;1882;2
101;5;4;1883;2
101;5;6;1884;2
101;5;8;426;2
101;5;10;831;2
101;5;11;1751;2
101;5;12;1752;2
101;5;13;1753;2
101;5;14;1754;2
101;5;16;4843;2
101;5;17;1756;2
101;5;18;1710;2
101;6;0;1880;2
101;6;2;1881;2
101;6;3;1882;2
101;6;4;1883;2
101;6;6;1884;2
101;6;8;426;2
101;6;10;831;2
101;6;11;1751;2
101;6;12;1752;2
101;6;13;1753;2
101;6;14;1754;2
101;6;16;4843;2
101;6;17;1756;2
101;6;18;13;2
101;6;20;14;2
101;6;21;33;2
101;6;22;1375;2
101;7;0;1880;2
101;7;2;1881;2
101;7;3;1882;2
101;7;4;1883;2
101;7;6;1884;2
101;7;8;426;2
101;7;10;831;2
101;7;11;1751;2
101;7;12;1752;2
101;7;13;1753;2
101;7;14;1754;2
101;7;16;4843;2
101;7;17;1756;2
101;7;18;13;2
101;7;20;14;2
101;7;21;15;2
101;7;23;16;2
101;7;24;17;2
101;7;25;18;2
101;7;26;19;2
101;7;27;5;2
101;7;28;1270;2
101;8;0;1880;2
101;8;2;1881;2
101;8;3;1882;2
101;8;4;1883;2
101;8;6;1884;2
101;8;8;426;2
101;8;10;831;2
101;8;11;1751;2
101;8;12;1752;2
101;8;13;1753;2
101;8;14;1754;2
101;8;16;4843;2
101;8;17;1756;2
101;8;18;13;2
101;8;20;14;2
101;8;21;15;2
101;8;23;16;2
101;8;24;17;2
101;8;25;18;2
101;8;26;19;2
101;8;28;20;2
101;8;29;21;2
101;8;30;22;2
101;8;31;23;2
101;8;32;132;2
101;8;33;4730;2
101;9;0;1880;2
101;9;2;1881;2
101;9;3;1882;2
101;9;4;1883;2
101;9;6;1884;2
101;9;8;426;2
101;9;10;831;2
101;9;11;1751;2
101;9;12;1752;2
101;9;13;1753;2
101;9;14;1754;2
101;9;16;4843;2
101;9;17;1756;2
101;9;18;13;2
101;9;20;14;2
101;9;21;15;2
101;9;23;16;2
101;9;24;17;2
101;9;25;18;2
101;9;26;19;2
101;9;28;20;2
101;9;29;21;2
101;9;30;22;2
101;9;31;23;2
101;9;32;132;2
101;9;33;164;2
101;9;34;310;2
101;9;36;311;2
101;10;0;1880;2
101;10;2;1881;2
101;10;3;1882;2
101;10;4;1883;2
101;10;6;1884;2
101;10;8;426;2
101;10;10;831;2
101;10;11;832;2
101;10;12;833;2
101;10;14;109;2
101;10;15;7526;2
101;10;17;111;2
101;10;19;112;2
101;10;20;113;2
101;10;21;114;2
101;10;22;81;2
101;10;23;13;2
101;10;25;14;2
101;10;26;15;2
101;10;28;16;2
101;10;29;17;2
101;10;30;18;2
101;10;31;19;2
101;10;33;20;2
101;10;34;21;2
101;10;35;22;2
101;10;36;23;2
101;10;37;132;2
101;10;38;164;2
101;10;39;165;2
101;10;40;166;2
101;10;41;167;2
101;10;42;168;2
101;11;0;1880;2
101;11;2;1881;2
101;11;3;1882;2
101;11;4;1883;2
101;11;6;1884;2
101;11;8;426;2
101;11;10;831;2
101;11;11;832;2
101;11;12;833;2
101;11;14;109;2
101;11;15;7526;2
101;11;17;111;2
101;11;19;112;2
101;11;20;113;2
101;11;21;114;2
101;11;22;81;2
101;11;23;52;2
101;11;25;53;2
101;11;26;54;2
101;11;27;55;2
101;11;28;23;2
101;11;29;132;2
101;11;30;164;2
101;11;31;165;2
101;11;32;166;2
101;11;33;167;2
101;11;34;168;2
101;12;0;1880;2
101;12;2;1881;2
101;12;3;1882;2
101;12;4;1883;2
101;12;6;1884;2
101;12;7;407;2
101;12;8;402;2
101;12;9;3712;2
101;12;11;6409;2
101;13;0;1880;2
101;13;2;1881;2
101;13;3;1882;2
101;13;4;1883;2
101;13;6;1884;2
101;13;8;426;2
101;13;9;427;2
101;13;11;1716;2
101;13;13;1717;2
101;13;14;1718;2
101;13;15;471;2
101;14;0;168;1
101;14;1;169;1
101;14;2;170;1
101;14;4;171;1
101;14;5;172;1
101;14;6;173;1
101;14;8;174;1
101;14;9;41;1
101;14;11;42;1
101;14;12;43;1
101;14;13;44;1
101;14;14;3700;1
101;14;15;5;1
101;14;16;1270;1
101;15;0;168;1
101;15;1;169;1
101;15;2;170;1
101;15;4;171;1
101;15;5;172;1
101;15;6;173;1
101;15;8;174;1
101;15;9;41;1
101;15;11;42;1
101;15;12;43;1
101;15;13;44;1
101;15;14;45;1
101;15;16;3701;1
101;16;0;168;1
101;16;1;169;1
101;16;2;170;1
101;16;4;171;1
101;16;5;172;1
101;16;6;173;1
101;16;8;174;1
101;16;9;41;1
101;16;11;42;1
101;16;12;43;1
101;16;13;44;1
101;16;14;45;1
101;16;16;46;1
101;16;18;47;1
101;16;19;48;1
101;16;20;3730;1
101;17;0;168;1
101;17;1;169;1
101;17;2;170;1
101;17;4;171;1
101;17;5;172;1
101;17;6;173;1
101;17;8;174;1
101;17;9;41;1
101;17;11;42;1
101;17;12;43;1
101;17;13;44;1
101;17;14;45;1
101;17;16;46;1
101;17;18;47;1
101;17;19;48;1
101;17;20;49;1
101;17;21;50;1
101;17;22;51;1
101;17;23;31;1
101;18;0;168;1
101;18;1;169;1
101;18;2;170;1
101;18;4;171;1
101;18;5;172;1
101;18;6;173;1
101;18;8;174;1
101;18;9;41;1
101;18;11;42;1
101;18;12;43;1
101;18;13;44;1
101;18;14;45;1
101;18;16;46;1
101;18;18;47;1
101;18;19;48;1
101;18;20;49;1
101;18;21;50;1
101;18;22;51;1
101;18;24;1709;1
101;18;25;1711;1
101;18;26;1712;1
101;18;28;1713;1
101;18;29;1714;1
101;18;31;1715;1
101;18;33;851;1
101;18;34;427;1
101;18;36;1716;1
101;18;38;1717;1
101;18;39;1718;1
101;18;40;471;1
101;19;0;168;1
101;19;1;169;1
101;19;2;170;1
101;19;4;171;1
101;19;5;172;1
101;19;6;173;1
101;19;8;174;1
101;19;9;41;1
101;19;11;42;1
101;19;12;43;1
101;19;13;44;1
101;19;14;45;1
101;19;16;46;1
101;19;18;47;1
101;19;19;48;1
101;19;20;49;1
101;19;21;50;1
101;19;22;51;1
101;19;24;1709;1
101;19;25;1711;1
101;19;26;1712;1
101;19;28;1713;1
101;19;29;1714;1
101;19;31;1715;1
101;19;33;851;1
101;19;35;401;1
101;19;36;407;1
101;19;37;402;1
101;19;39;403;1
101;19;40;2243;1
101;20;0;168;1
101;20;1;169;1
101;20;2;170;1
101;20;4;171;1
101;20;5;172;1
101;20;6;173;1
101;20;8;174;1
101;20;9;41;1
101;20;11;42;1
101;20;12;43;1
101;20;13;44;1
101;20;14;45;1
101;20;16;46;1
101;20;18;47;1
101;20;19;48;1
101;20;20;49;1
101;20;21;50;1
101;20;22;51;1
101;20;24;1709;1
101;20;25;1711;1
101;20;26;1712;1
101;20;28;1713;1
101;20;29;1714;1
101;20;31;1715;1
101;20;33;851;1
101;20;35;401;1
101;20;36;407;1
101;20;37;402;1
101;20;38;3712;1
101;20;40;6409;1
101;21;0;168;1
101;21;1;169;1
101;21;2;170;1
101;21;4;171;1
101;21;5;172;1
101;21;6;173;1
101;21;8;174;1
101;21;9;41;1
101;21;11;9;1
101;21;12;10;1
101;21;13;11;1
101;21;14;12;1
101;21;15;13;1
101;22;0;168;1
101;22;1;169;1
101;22;2;170;1
101;22;4;171;1
101;22;5;172;1
101;22;6;173;1
101;22;8;174;1
101;22;9;41;1
101;22;11;42;1
101;22;12;43;1
101;22;13;44;1
101;22;14;45;1
101;22;16;46;1
101;22;18;47;1
101;22;19;48;1
101;22;20;49;1
101;22;21;50;1
101;22;22;51;1
101;23;0;168;1
101;23;1;169;1
101;23;2;170;1
101;23;4;171;1
101;23;5;172;1
101;23;6;173;1
101;23;8;174;1
101;23;9;41;1
101;23;11;9;1
101;23;12;10;1
101;23;13;11;1
101;23;14;12;1
101;23;15;105;1
101;23;16;2610;1
101;23;17;2611;1
101;24;0;168;1
101;24;1;169;1
101;24;2;170;1
101;24;4;171;1
101;24;5;172;1
101;24;6;173;1
101;24;8;174;1
101;24;9;41;1
101;24;11;9;1
101;24;12;10;1
101;24;13;11;1
101;24;14;12;1
101;24;15;13;1
101;24;17;14;1
101;24;18;33;1
101;24;19;1375;1
101;24;21;4701;1
101;24;22;50;1
101;24;23;51;1
101;24;25;1709;1
101;24;26;1711;1
101;24;27;1712;1
101;24;29;1713;1
101;24;30;1714;1
101;24;32;1715;1
101;24;34;851;1
101;24;36;401;1
101;24;37;1875;1
101;24;38;1876;1
101;24;39;1877;1
101;24;40;1878;1
101;24;41;1880;1
101;25;0;1880;2
101;25;2;1881;2
101;25;3;1882;2
101;25;4;1883;2
101;25;6;1884;2
101;25;8;426;2
101;25;10;831;2
101;25;11;832;2
101;25;12;833;2
101;25;14;303;2
101;25;15;304;2
101;25;16;305;2
101;25;18;306;2
101;25;19;307;2
101;25;20;308;2
101;25;21;161;2
101;25;22;162;2
101;25;23;163;2
101;25;24;164;2
101;25;25;165;2
101;25;26;166;2
101;25;27;167;2
101;25;28;168;2
101;26;0;168;1
101;26;1;169;1
101;26;2;170;1
101;26;4;171;1
101;26;5;172;1
101;26;6;173;1
101;26;8;174;1
101;26;9;41;1
101;26;11;42;1
101;26;12;43;1
101;26;13;44;1
